pickup_line,humor_rating,successful_dates
"Are you wi-fi? Cause I'm totally feeling a connection.",8,12
"If I had a nickel for every time I saw someone as beautiful as you, I'd have five cents.",7,10
"I'd like to take you to the movies, but they don't let you bring in your own snacks.",6,8
"Are you Australian? Because you meet all of my koalafications.",9,14
"Know what's on the menu? Me-N-U.",5,7
"Your middle name must be Gillette. Because you're the best a man can get!",4,5
"You look so familiar. Didn't we take a class together? I could've sworn we had chemistry.",9,15
"You and I are like nachos with jalapeños. I'm super cheesy, you're super hot, and we belong together.",8,12
"Knock-knock. (Who's there?) When where? (When where who?) Tomorrow night, my house, you.",3,4
"Do you like Star Wars? Cause Yoda only one for me.",7,11
"Go ahead, feel my shirt. It's made of boyfriend material!",5,7
"If you were a Transformer you'd be Optimus Fine!",8,13
"Do you believe in love at first sight, or should I walk past you again?",6,9
"I'm learning about important dates in history. Wanna be one of them?",7,11
"I seem to have lost my phone number. Can I have yours?",4,5
"Are you a parking ticket? Cause you've got fine written all over you!",5,7
"Did you invent the airplane? Because you seem just Wright for me!",8,12
"I was wondering if you had an extra heart…because mine was just stolen.",6,8
"Are you Siri? Because you autocomplete me!",9,14
"I hope you know CPR, because you are taking my breath away!",5,6
"If I had four quarters to give to the four prettiest women in the world, you would have a dollar!",7,10
"Let me guess, your middle name is Gillette, right? Because you're the best a man can get!",4,5
"Your eyes are bluer than the Atlantic Ocean, and I don't mind being lost at sea.",6,8
"If you were a burger at McDonald's, you'd be the McGorgeous.",7,11
"Are you a camera? Because every time I look at you, I smile.",5,7
"Is there an airport nearby, or was that just my heart taking off?",4,5
"Are you a loan? 'Cause you've got my interest!",8,12
"I'm in the mood for pizza. A pizza you, that is!",7,10
"Are you a 45-degree angle? Because you're a-cutie!",8,13
"You're so sweet, you could put Hershey's out of business!",5,7
"I'm good at algebra; I can replace your X and you wouldn't need to figure out Y.",9,15
"I'm really glad I just bought life insurance, because when I saw you, my heart stopped.",6,8
"If I had to rate you from 1 to 10, I'd give you a 9, because I'm the 1 you're missing.",8,12
"You must be jelly, cause jam don't shake like that.",7,10
"You must be a bank loan, cause you've got my interest.",6,8
"I've got 1-ply, I've got 2-ply, but all I really want is your re-ply.",8,13
"If nothing lasts forever, will you be my nothing?",7,11
"If you were a phaser on Star Trek, you'd be set to stun!",8,12
"Is your name Google? Because you have everything I've been searching for.",9,14
"Have you been covered in bees recently? I just assumed, because you look sweeter than honey.",6,8
"There must be something wrong with my eyes. I can't take them off you.",5,7
"Are you from Tennessee? Because you're the only Ten I See.",4,5
"You must be a campfire. Because you're super hot and I want s'more.",7,11
"My buddies bet me that I wouldn't be able to start a conversation with the most beautiful person here. How should we spend their money?",8,13
"Well, here I am. What are your other two wishes?",7,10
"Remember me? Oh, that's right, I've only met you in my dreams.",6,8
"You must be made of cheese. Because you're looking Gouda tonight!",8,12
"I'm glad I remembered to bring my library card. 'Cause I am totally checking you out!",7,11
"If you were a vegetable, you would be a cute-cumber!",6,9
"I'm no mathematician, but I'm pretty good with numbers. Tell you what, give me yours and watch what I can do with it.",8,13
"Are you a time traveler? Because I see you in my future!",7,10
"If you and I were socks, we'd make a great pair!",6,8
"Do you work at Dick's? Because you're sporting the goods!",5,7
"Are your parents bakers? Because you're a cutie pie!",7,11
"Are you a long structure used to restrict the flow of water across rivers and underwater streams? Because daaaaaaaaam!",8,12
"Your eyes are like IKEA. I'm totally lost in them.",9,14
"How much does a polar bear weigh? I don't know either but it breaks the ice. Wanna get a drink?",8,13
"Are you my appendix? Because I have a funny feeling in my stomach that makes me feel like I should take you out.",7,11
"Aside from being drop-dead gorgeous, what do you do for a living?",6,8
"Hey, my name's Microsoft. Can I crash at your place?",8,12
"Kiss me if I'm wrong. But dinosaurs still exist, right?",7,10
"You owe me a drink. Because when I looked at you, I dropped mine!",6,8
"Want a raisin? No? Well, how about a date?",8,13
"You must be a high test score. Because I want to take you home and show you to my mother.",7,11
"I may not be a photographer, but I can totally picture us together.",6,9
"You must be a magician. Because any time I look at you, everyone else disappears.",7,10
"Was your dad a boxer? Because you're a knockout!",5,7
"I want our love to be like the number Pi: irrational and never-ending.",9,15
"Is your name Ariel? Cause we Mermaid for each other.",8,12
"If you were words on a page you'd be the fine print.",6,8
"I'm writing a term paper on the finer things in life, and I was wondering if I could interview you.",7,11
"Where have I seen you before? Oh yeah, I remember now. It was in the dictionary next to the word 'gorgeous'!",5,7
"I wasn't always religious. But I am now, because you're the answer to all my prayers.",6,9
"If I could rearrange the alphabet, I'd put I and U together.",4,5
"You must be exhausted, because you've been running through my mind all day.",3,4
